"","x"
"946","Atchison County, Kansas"
"947","Barber County, Kansas"
"948","Barton County, Kansas"
"949","Bourbon County, Kansas"
"950","Brown County, Kansas"
"951","Butler County, Kansas"
"952","Chase County, Kansas"
"953","Chautauqua County, Kansas"
"954","Cherokee County, Kansas"
"955","Cheyenne County, Kansas"
"956","Clark County, Kansas"
"957","Clay County, Kansas"
"958","Cloud County, Kansas"
"959","Coffey County, Kansas"
"960","Comanche County, Kansas"
"961","Cowley County, Kansas"
"962","Crawford County, Kansas"
"963","Decatur County, Kansas"
"964","Dickinson County, Kansas"
"965","Doniphan County, Kansas"
"966","Douglas County, Kansas"
"967","Edwards County, Kansas"
"968","Elk County, Kansas"
"969","Ellis County, Kansas"
"970","Ellsworth County, Kansas"
"971","Finney County, Kansas"
"972","Ford County, Kansas"
"973","Franklin County, Kansas"
"974","Geary County, Kansas"
"975","Gove County, Kansas"
"976","Graham County, Kansas"
"977","Grant County, Kansas"
"978","Gray County, Kansas"
"979","Greeley County, Kansas"
"980","Greenwood County, Kansas"
"981","Hamilton County, Kansas"
"982","Harper County, Kansas"
"983","Harvey County, Kansas"
"984","Haskell County, Kansas"
"985","Hodgeman County, Kansas"
"986","Jackson County, Kansas"
"987","Jefferson County, Kansas"
"988","Jewell County, Kansas"
"989","Johnson County, Kansas"
"990","Kearny County, Kansas"
"991","Kingman County, Kansas"
"992","Kiowa County, Kansas"
"993","Labette County, Kansas"
"994","Lane County, Kansas"
"995","Leavenworth County, Kansas"
"996","Lincoln County, Kansas"
"997","Linn County, Kansas"
"998","Logan County, Kansas"
"999","Lyon County, Kansas"
"1000","McPherson County, Kansas"
"1001","Marion County, Kansas"
"1002","Marshall County, Kansas"
"1003","Meade County, Kansas"
"1004","Miami County, Kansas"
"1005","Mitchell County, Kansas"
"1006","Montgomery County, Kansas"
"1007","Morris County, Kansas"
"1008","Morton County, Kansas"
"1009","Nemaha County, Kansas"
"1010","Neosho County, Kansas"
"1011","Ness County, Kansas"
"1012","Norton County, Kansas"
"1013","Osage County, Kansas"
"1014","Osborne County, Kansas"
"1015","Ottawa County, Kansas"
"1016","Pawnee County, Kansas"
"1017","Phillips County, Kansas"
"1018","Pottawatomie County, Kansas"
"1019","Pratt County, Kansas"
"1020","Rawlins County, Kansas"
"1021","Reno County, Kansas"
"1022","Republic County, Kansas"
"1023","Rice County, Kansas"
"1024","Riley County, Kansas"
"1025","Rooks County, Kansas"
"1026","Rush County, Kansas"
"1027","Russell County, Kansas"
"1028","Saline County, Kansas"
"1029","Scott County, Kansas"
"1030","Sedgwick County, Kansas"
"1031","Seward County, Kansas"
"1032","Shawnee County, Kansas"
"1033","Sheridan County, Kansas"
"1034","Sherman County, Kansas"
"1035","Smith County, Kansas"
"1036","Stafford County, Kansas"
"1037","Stanton County, Kansas"
"1038","Stevens County, Kansas"
"1039","Sumner County, Kansas"
"1040","Thomas County, Kansas"
"1041","Trego County, Kansas"
"1042","Wabaunsee County, Kansas"
"1043","Wallace County, Kansas"
"1044","Washington County, Kansas"
"1045","Wichita County, Kansas"
"1046","Wilson County, Kansas"
"1047","Woodson County, Kansas"
"1048","Wyandotte County, Kansas"
"1049","Adair County, Kentucky"
"1050","Allen County, Kentucky"
"1051","Anderson County, Kentucky"
"1052","Ballard County, Kentucky"
"1053","Barren County, Kentucky"
"1054","Bath County, Kentucky"
"1055","Bell County, Kentucky"
"1056","Boone County, Kentucky"
"1057","Bourbon County, Kentucky"
"1058","Boyd County, Kentucky"
"1059","Boyle County, Kentucky"
"1060","Bracken County, Kentucky"
"1061","Breathitt County, Kentucky"
"1062","Breckinridge County, Kentucky"
"1063","Bullitt County, Kentucky"
"1064","Butler County, Kentucky"
"1065","Caldwell County, Kentucky"
"1066","Calloway County, Kentucky"
"1067","Campbell County, Kentucky"
"1068","Carlisle County, Kentucky"
"1069","Carroll County, Kentucky"
"1070","Carter County, Kentucky"
"1071","Casey County, Kentucky"
"1072","Christian County, Kentucky"
"1073","Clark County, Kentucky"
"1074","Clay County, Kentucky"
"1075","Clinton County, Kentucky"
"1076","Crittenden County, Kentucky"
"1077","Cumberland County, Kentucky"
"1078","Daviess County, Kentucky"
"1079","Edmonson County, Kentucky"
"1080","Elliott County, Kentucky"
"1081","Estill County, Kentucky"
"1082","Fayette County, Kentucky"
"1083","Fleming County, Kentucky"
"1084","Floyd County, Kentucky"
"1085","Franklin County, Kentucky"
"1086","Fulton County, Kentucky"
"1087","Gallatin County, Kentucky"
"1088","Garrard County, Kentucky"
"1089","Grant County, Kentucky"
"1090","Graves County, Kentucky"
"1091","Grayson County, Kentucky"
"1092","Green County, Kentucky"
"1093","Greenup County, Kentucky"
"1094","Hancock County, Kentucky"
"1095","Hardin County, Kentucky"
"1096","Harlan County, Kentucky"
"1097","Harrison County, Kentucky"
"1098","Hart County, Kentucky"
"1099","Henderson County, Kentucky"
"1100","Henry County, Kentucky"
"1101","Hickman County, Kentucky"
"1102","Hopkins County, Kentucky"
"1103","Jackson County, Kentucky"
"1104","Jefferson County, Kentucky"
"1105","Jessamine County, Kentucky"
"1106","Johnson County, Kentucky"
"1107","Kenton County, Kentucky"
"1108","Knott County, Kentucky"
"1109","Knox County, Kentucky"
"1110","Larue County, Kentucky"
"1111","Laurel County, Kentucky"
"1112","Lawrence County, Kentucky"
"1113","Lee County, Kentucky"
"1114","Leslie County, Kentucky"
"1115","Letcher County, Kentucky"
"1116","Lewis County, Kentucky"
"1117","Lincoln County, Kentucky"
"1118","Livingston County, Kentucky"
"1119","Logan County, Kentucky"
"1120","Lyon County, Kentucky"
"1121","McCracken County, Kentucky"
"1122","McCreary County, Kentucky"
"1123","McLean County, Kentucky"
"1124","Madison County, Kentucky"
"1125","Magoffin County, Kentucky"
"1126","Marion County, Kentucky"
"1127","Marshall County, Kentucky"
"1128","Martin County, Kentucky"
"1129","Mason County, Kentucky"
"1130","Meade County, Kentucky"
"1131","Menifee County, Kentucky"
"1132","Mercer County, Kentucky"
"1133","Metcalfe County, Kentucky"
"1134","Monroe County, Kentucky"
"1135","Montgomery County, Kentucky"
"1136","Morgan County, Kentucky"
"1137","Muhlenberg County, Kentucky"
"1138","Nelson County, Kentucky"
"1139","Nicholas County, Kentucky"
"1140","Ohio County, Kentucky"
"1141","Oldham County, Kentucky"
"1142","Owen County, Kentucky"
"1143","Owsley County, Kentucky"
"1144","Pendleton County, Kentucky"
"1145","Perry County, Kentucky"
"1146","Pike County, Kentucky"
"1147","Powell County, Kentucky"
"1148","Pulaski County, Kentucky"
"1149","Robertson County, Kentucky"
"1150","Rockcastle County, Kentucky"
"1151","Rowan County, Kentucky"
"1152","Russell County, Kentucky"
"1153","Scott County, Kentucky"
"1154","Shelby County, Kentucky"
"1155","Simpson County, Kentucky"
"1156","Spencer County, Kentucky"
"1157","Taylor County, Kentucky"
"1158","Todd County, Kentucky"
"1159","Trigg County, Kentucky"
"1160","Trimble County, Kentucky"
"1161","Union County, Kentucky"
"1162","Warren County, Kentucky"
"1163","Washington County, Kentucky"
"1164","Wayne County, Kentucky"
"1165","Webster County, Kentucky"
"1166","Whitley County, Kentucky"
"1167","Wolfe County, Kentucky"
"1168","Woodford County, Kentucky"
"1169","Acadia Parish, Louisiana"
"1170","Allen Parish, Louisiana"
"1171","Ascension Parish, Louisiana"
"1172","Assumption Parish, Louisiana"
"1173","Avoyelles Parish, Louisiana"
"1174","Beauregard Parish, Louisiana"
"1175","Bienville Parish, Louisiana"
"1176","Bossier Parish, Louisiana"
"1177","Caddo Parish, Louisiana"
"1178","Calcasieu Parish, Louisiana"
"1179","Caldwell Parish, Louisiana"
"1180","Cameron Parish, Louisiana"
"1181","Catahoula Parish, Louisiana"
"1182","Claiborne Parish, Louisiana"
"1183","Concordia Parish, Louisiana"
"1184","De Soto Parish, Louisiana"
"1185","East Baton Rouge Parish, Louisiana"
"1186","East Carroll Parish, Louisiana"
"1187","East Feliciana Parish, Louisiana"
"1188","Evangeline Parish, Louisiana"
"1189","Franklin Parish, Louisiana"
"1190","Grant Parish, Louisiana"
"1191","Iberia Parish, Louisiana"
"1192","Iberville Parish, Louisiana"
"1193","Jackson Parish, Louisiana"
"1194","Jefferson Parish, Louisiana"
"1195","Jefferson Davis Parish, Louisiana"
"1196","Lafayette Parish, Louisiana"
"1197","Lafourche Parish, Louisiana"
"1198","LaSalle Parish, Louisiana"
"1199","Lincoln Parish, Louisiana"
"1200","Livingston Parish, Louisiana"
"1201","Madison Parish, Louisiana"
"1202","Morehouse Parish, Louisiana"
"1203","Natchitoches Parish, Louisiana"
"1204","Orleans Parish, Louisiana"
"1205","Ouachita Parish, Louisiana"
"1206","Plaquemines Parish, Louisiana"
"1207","Pointe Coupee Parish, Louisiana"
"1208","Rapides Parish, Louisiana"
"1209","Red River Parish, Louisiana"
"1210","Richland Parish, Louisiana"
"1211","Sabine Parish, Louisiana"
"1212","St. Bernard Parish, Louisiana"
"1213","St. Charles Parish, Louisiana"
"1214","St. Helena Parish, Louisiana"
"1215","St. James Parish, Louisiana"
"1216","St. John the Baptist Parish, Louisiana"
"1217","St. Landry Parish, Louisiana"
"1218","St. Martin Parish, Louisiana"
"1219","St. Mary Parish, Louisiana"
"1220","St. Tammany Parish, Louisiana"
"1221","Tangipahoa Parish, Louisiana"
"1222","Tensas Parish, Louisiana"
"1223","Terrebonne Parish, Louisiana"
"1224","Union Parish, Louisiana"
"1225","Vermilion Parish, Louisiana"
"1226","Vernon Parish, Louisiana"
"1227","Washington Parish, Louisiana"
"1228","Webster Parish, Louisiana"
"1229","West Baton Rouge Parish, Louisiana"
"1230","West Carroll Parish, Louisiana"
"1231","West Feliciana Parish, Louisiana"
"1232","Winn Parish, Louisiana"
"1233","Androscoggin County, Maine"
"1234","Aroostook County, Maine"
"1235","Cumberland County, Maine"
"1236","Franklin County, Maine"
"1237","Hancock County, Maine"
"1238","Kennebec County, Maine"
"1239","Knox County, Maine"
"1240","Lincoln County, Maine"
"1241","Oxford County, Maine"
"1242","Penobscot County, Maine"
"1243","Piscataquis County, Maine"
"1244","Sagadahoc County, Maine"
"1245","Somerset County, Maine"
"1246","Waldo County, Maine"
"1247","Washington County, Maine"
"1248","York County, Maine"
"1249","Allegany County, Maryland"
"1250","Anne Arundel County, Maryland"
"1251","Baltimore County, Maryland"
"1252","Calvert County, Maryland"
"1253","Caroline County, Maryland"
"1254","Carroll County, Maryland"
"1255","Cecil County, Maryland"
"1256","Charles County, Maryland"
"1257","Dorchester County, Maryland"
"1258","Frederick County, Maryland"
"1259","Garrett County, Maryland"
"1260","Harford County, Maryland"
"1261","Howard County, Maryland"
"1262","Kent County, Maryland"
"1263","Montgomery County, Maryland"
"1264","Prince George's County, Maryland"
"1265","Queen Anne's County, Maryland"
"1266","St. Mary's County, Maryland"
"1267","Somerset County, Maryland"
"1268","Talbot County, Maryland"
"1269","Washington County, Maryland"
"1270","Wicomico County, Maryland"
"1271","Worcester County, Maryland"
"1272","Baltimore city, Maryland"
"1273","Barnstable County, Massachusetts"
"1274","Berkshire County, Massachusetts"
"1275","Bristol County, Massachusetts"
"1276","Dukes County, Massachusetts"
"1277","Essex County, Massachusetts"
"1278","Franklin County, Massachusetts"
"1279","Hampden County, Massachusetts"
"1280","Hampshire County, Massachusetts"
"1281","Middlesex County, Massachusetts"
"1282","Nantucket County, Massachusetts"
"1283","Norfolk County, Massachusetts"
"1284","Plymouth County, Massachusetts"
"1285","Suffolk County, Massachusetts"
"1286","Worcester County, Massachusetts"
"1287","Alcona County, Michigan"
"1288","Alger County, Michigan"
"1289","Allegan County, Michigan"
"1290","Alpena County, Michigan"
"1291","Antrim County, Michigan"
"1292","Arenac County, Michigan"
"1293","Baraga County, Michigan"
"1294","Barry County, Michigan"
"1295","Bay County, Michigan"
"1296","Benzie County, Michigan"
"1297","Berrien County, Michigan"
"1298","Branch County, Michigan"
"1299","Calhoun County, Michigan"
"1300","Cass County, Michigan"
"1301","Charlevoix County, Michigan"
"1302","Cheboygan County, Michigan"
"1303","Chippewa County, Michigan"
"1304","Clare County, Michigan"
"1305","Clinton County, Michigan"
"1306","Crawford County, Michigan"
"1307","Delta County, Michigan"
"1308","Dickinson County, Michigan"
"1309","Eaton County, Michigan"
"1310","Emmet County, Michigan"
"1311","Genesee County, Michigan"
"1312","Gladwin County, Michigan"
"1313","Gogebic County, Michigan"
"1314","Grand Traverse County, Michigan"
"1315","Gratiot County, Michigan"
"1316","Hillsdale County, Michigan"
"1317","Houghton County, Michigan"
"1318","Huron County, Michigan"
"1319","Ingham County, Michigan"
"1320","Ionia County, Michigan"
"1321","Iosco County, Michigan"
"1322","Iron County, Michigan"
"1323","Isabella County, Michigan"
"1324","Jackson County, Michigan"
"1325","Kalamazoo County, Michigan"
"1326","Kalkaska County, Michigan"
"1327","Kent County, Michigan"
"1328","Keweenaw County, Michigan"
"1329","Lake County, Michigan"
"1330","Lapeer County, Michigan"
"1331","Leelanau County, Michigan"
"1332","Lenawee County, Michigan"
"1333","Livingston County, Michigan"
"1334","Luce County, Michigan"
"1335","Mackinac County, Michigan"
"1336","Macomb County, Michigan"
"1337","Manistee County, Michigan"
"1338","Marquette County, Michigan"
"1339","Mason County, Michigan"
"1340","Mecosta County, Michigan"
"1341","Menominee County, Michigan"
"1342","Midland County, Michigan"
"1343","Missaukee County, Michigan"
"1344","Monroe County, Michigan"
"1345","Montcalm County, Michigan"
"1346","Montmorency County, Michigan"
"1347","Muskegon County, Michigan"
"1348","Newaygo County, Michigan"
"1349","Oakland County, Michigan"
"1350","Oceana County, Michigan"
"1351","Ogemaw County, Michigan"
"1352","Ontonagon County, Michigan"
"1353","Osceola County, Michigan"
"1354","Oscoda County, Michigan"
"1355","Otsego County, Michigan"
"1356","Ottawa County, Michigan"
"1357","Presque Isle County, Michigan"
"1358","Roscommon County, Michigan"
"1359","Saginaw County, Michigan"
"1360","St. Clair County, Michigan"
"1361","St. Joseph County, Michigan"
"1362","Sanilac County, Michigan"
"1363","Schoolcraft County, Michigan"
"1364","Shiawassee County, Michigan"
"1365","Tuscola County, Michigan"
"1366","Van Buren County, Michigan"
"1367","Washtenaw County, Michigan"
"1368","Wayne County, Michigan"
"1369","Wexford County, Michigan"
"1370","Aitkin County, Minnesota"
"1371","Anoka County, Minnesota"
"1372","Becker County, Minnesota"
"1373","Beltrami County, Minnesota"
"1374","Benton County, Minnesota"
"1375","Big Stone County, Minnesota"
"1376","Blue Earth County, Minnesota"
"1377","Brown County, Minnesota"
"1378","Carlton County, Minnesota"
"1379","Carver County, Minnesota"
"1380","Cass County, Minnesota"
"1381","Chippewa County, Minnesota"
"1382","Chisago County, Minnesota"
"1383","Clay County, Minnesota"
"1384","Clearwater County, Minnesota"
"1385","Cook County, Minnesota"
"1386","Cottonwood County, Minnesota"
"1387","Crow Wing County, Minnesota"
"1388","Dakota County, Minnesota"
"1389","Dodge County, Minnesota"
"1390","Douglas County, Minnesota"
"1391","Faribault County, Minnesota"
"1392","Fillmore County, Minnesota"
"1393","Freeborn County, Minnesota"
"1394","Goodhue County, Minnesota"
"1395","Grant County, Minnesota"
"1396","Hennepin County, Minnesota"
"1397","Houston County, Minnesota"
"1398","Hubbard County, Minnesota"
"1399","Isanti County, Minnesota"
"1400","Itasca County, Minnesota"
"1401","Jackson County, Minnesota"
"1402","Kanabec County, Minnesota"
"1403","Kandiyohi County, Minnesota"
"1404","Kittson County, Minnesota"
"1405","Koochiching County, Minnesota"
"1406","Lac qui Parle County, Minnesota"
"1407","Lake County, Minnesota"
"1408","Lake of the Woods County, Minnesota"
"1409","Le Sueur County, Minnesota"
"1410","Lincoln County, Minnesota"
"1411","Lyon County, Minnesota"
"1412","McLeod County, Minnesota"
"1413","Mahnomen County, Minnesota"
"1414","Marshall County, Minnesota"
"1415","Martin County, Minnesota"
"1416","Meeker County, Minnesota"
"1417","Mille Lacs County, Minnesota"
"1418","Morrison County, Minnesota"
"1419","Mower County, Minnesota"
"1420","Murray County, Minnesota"
"1421","Nicollet County, Minnesota"
"1422","Nobles County, Minnesota"
"1423","Norman County, Minnesota"
"1424","Olmsted County, Minnesota"
"1425","Otter Tail County, Minnesota"
"1426","Pennington County, Minnesota"
"1427","Pine County, Minnesota"
"1428","Pipestone County, Minnesota"
"1429","Polk County, Minnesota"
"1430","Pope County, Minnesota"
"1431","Ramsey County, Minnesota"
"1432","Red Lake County, Minnesota"
"1433","Redwood County, Minnesota"
"1434","Renville County, Minnesota"
"1435","Rice County, Minnesota"
"1436","Rock County, Minnesota"
"1437","Roseau County, Minnesota"
"1438","St. Louis County, Minnesota"
"1439","Scott County, Minnesota"
"1440","Sherburne County, Minnesota"
"1441","Sibley County, Minnesota"
"1442","Stearns County, Minnesota"
"1443","Steele County, Minnesota"
"1444","Stevens County, Minnesota"
"1445","Swift County, Minnesota"
"1446","Todd County, Minnesota"
"1447","Traverse County, Minnesota"
"1448","Wabasha County, Minnesota"
"1449","Wadena County, Minnesota"
"1450","Waseca County, Minnesota"
"1451","Washington County, Minnesota"
"1452","Watonwan County, Minnesota"
"1453","Wilkin County, Minnesota"
"1454","Winona County, Minnesota"
"1455","Wright County, Minnesota"
"1456","Yellow Medicine County, Minnesota"
"1457","Adams County, Mississippi"
"1458","Alcorn County, Mississippi"
"1459","Amite County, Mississippi"
"1460","Attala County, Mississippi"
"1461","Benton County, Mississippi"
"1462","Bolivar County, Mississippi"
"1463","Calhoun County, Mississippi"
"1464","Carroll County, Mississippi"
"1465","Chickasaw County, Mississippi"
"1466","Choctaw County, Mississippi"
"1467","Claiborne County, Mississippi"
"1468","Clarke County, Mississippi"
"1469","Clay County, Mississippi"
"1470","Coahoma County, Mississippi"
"1471","Copiah County, Mississippi"
"1472","Covington County, Mississippi"
"1473","DeSoto County, Mississippi"
"1474","Forrest County, Mississippi"
"1475","Franklin County, Mississippi"
"1476","George County, Mississippi"
"1477","Greene County, Mississippi"
"1478","Grenada County, Mississippi"
"1479","Hancock County, Mississippi"
"1480","Harrison County, Mississippi"
"1481","Hinds County, Mississippi"
"1482","Holmes County, Mississippi"
"1483","Humphreys County, Mississippi"
"1484","Issaquena County, Mississippi"
"1485","Itawamba County, Mississippi"
"1486","Jackson County, Mississippi"
"1487","Jasper County, Mississippi"
"1488","Jefferson County, Mississippi"
"1489","Jefferson Davis County, Mississippi"
"1490","Jones County, Mississippi"
"1491","Kemper County, Mississippi"
"1492","Lafayette County, Mississippi"
"1493","Lamar County, Mississippi"
"1494","Lauderdale County, Mississippi"
"1495","Lawrence County, Mississippi"
"1496","Leake County, Mississippi"
"1497","Lee County, Mississippi"
"1498","Leflore County, Mississippi"
"1499","Lincoln County, Mississippi"
"1500","Lowndes County, Mississippi"
"1501","Madison County, Mississippi"
"1502","Marion County, Mississippi"
"1503","Marshall County, Mississippi"
"1504","Monroe County, Mississippi"
"1505","Montgomery County, Mississippi"
"1506","Neshoba County, Mississippi"
"1507","Newton County, Mississippi"
"1508","Noxubee County, Mississippi"
"1509","Oktibbeha County, Mississippi"
"1510","Panola County, Mississippi"
"1511","Pearl River County, Mississippi"
"1512","Perry County, Mississippi"
"1513","Pike County, Mississippi"
"1514","Pontotoc County, Mississippi"
"1515","Prentiss County, Mississippi"
"1516","Quitman County, Mississippi"
"1517","Rankin County, Mississippi"
"1518","Scott County, Mississippi"
"1519","Sharkey County, Mississippi"
"1520","Simpson County, Mississippi"
"1521","Smith County, Mississippi"
"1522","Stone County, Mississippi"
"1523","Sunflower County, Mississippi"
"1524","Tallahatchie County, Mississippi"
"1525","Tate County, Mississippi"
"1526","Tippah County, Mississippi"
"1527","Tishomingo County, Mississippi"
"1528","Tunica County, Mississippi"
"1529","Union County, Mississippi"
"1530","Walthall County, Mississippi"
"1531","Warren County, Mississippi"
"1532","Washington County, Mississippi"
"1533","Wayne County, Mississippi"
"1534","Webster County, Mississippi"
"1535","Wilkinson County, Mississippi"
"1536","Winston County, Mississippi"
"1537","Yalobusha County, Mississippi"
"1538","Yazoo County, Mississippi"
"1539","Adair County, Missouri"
"1540","Andrew County, Missouri"
"1541","Atchison County, Missouri"
"1542","Audrain County, Missouri"
"1543","Barry County, Missouri"
"1544","Barton County, Missouri"
"1545","Bates County, Missouri"
"1546","Benton County, Missouri"
"1547","Bollinger County, Missouri"
"1548","Boone County, Missouri"
"1549","Buchanan County, Missouri"
"1550","Butler County, Missouri"
"1551","Caldwell County, Missouri"
"1552","Callaway County, Missouri"
"1553","Camden County, Missouri"
"1554","Cape Girardeau County, Missouri"
"1555","Carroll County, Missouri"
"1556","Carter County, Missouri"
"1557","Cass County, Missouri"
"1558","Cedar County, Missouri"
"1559","Chariton County, Missouri"
"1560","Christian County, Missouri"
"1561","Clark County, Missouri"
"1562","Clay County, Missouri"
"1563","Clinton County, Missouri"
"1564","Cole County, Missouri"
"1565","Cooper County, Missouri"
"1566","Crawford County, Missouri"
"1567","Dade County, Missouri"
"1568","Dallas County, Missouri"
"1569","Daviess County, Missouri"
"1570","DeKalb County, Missouri"
"1571","Dent County, Missouri"
"1572","Douglas County, Missouri"
"1573","Dunklin County, Missouri"
"1574","Franklin County, Missouri"
"1575","Gasconade County, Missouri"
"1576","Gentry County, Missouri"
"1577","Greene County, Missouri"
"1578","Grundy County, Missouri"
"1579","Harrison County, Missouri"
"1580","Henry County, Missouri"
"1581","Hickory County, Missouri"
"1582","Holt County, Missouri"
"1583","Howard County, Missouri"
"1584","Howell County, Missouri"
"1585","Iron County, Missouri"
"1586","Jackson County, Missouri"
"1587","Jasper County, Missouri"
"1588","Jefferson County, Missouri"
"1589","Johnson County, Missouri"
"1590","Knox County, Missouri"
"1591","Laclede County, Missouri"
"1592","Lafayette County, Missouri"
"1593","Lawrence County, Missouri"
"1594","Lewis County, Missouri"
"1595","Lincoln County, Missouri"
"1596","Linn County, Missouri"
"1597","Livingston County, Missouri"
"1598","McDonald County, Missouri"
"1599","Macon County, Missouri"
"1600","Madison County, Missouri"
"1601","Maries County, Missouri"
"1602","Marion County, Missouri"
"1603","Mercer County, Missouri"
"1604","Miller County, Missouri"
"1605","Mississippi County, Missouri"
"1606","Moniteau County, Missouri"
"1607","Monroe County, Missouri"
"1608","Montgomery County, Missouri"
"1609","Morgan County, Missouri"
"1610","New Madrid County, Missouri"
"1611","Newton County, Missouri"
"1612","Nodaway County, Missouri"
"1613","Oregon County, Missouri"
"1614","Osage County, Missouri"
"1615","Ozark County, Missouri"
"1616","Pemiscot County, Missouri"
"1617","Perry County, Missouri"
"1618","Pettis County, Missouri"
"1619","Phelps County, Missouri"
"1620","Pike County, Missouri"
"1621","Platte County, Missouri"
"1622","Polk County, Missouri"
"1623","Pulaski County, Missouri"
"1624","Putnam County, Missouri"
"1625","Ralls County, Missouri"
"1626","Randolph County, Missouri"
"1627","Ray County, Missouri"
"1628","Reynolds County, Missouri"
"1629","Ripley County, Missouri"
"1630","St. Charles County, Missouri"
"1631","St. Clair County, Missouri"
"1632","Ste. Genevieve County, Missouri"
"1633","St. Francois County, Missouri"
"1634","St. Louis County, Missouri"
"1635","Saline County, Missouri"
"1636","Schuyler County, Missouri"
"1637","Scotland County, Missouri"
"1638","Scott County, Missouri"
"1639","Shannon County, Missouri"
"1640","Shelby County, Missouri"
"1641","Stoddard County, Missouri"
"1642","Stone County, Missouri"
"1643","Sullivan County, Missouri"
"1644","Taney County, Missouri"
"1645","Texas County, Missouri"
"1646","Vernon County, Missouri"
"1647","Warren County, Missouri"
"1648","Washington County, Missouri"
"1649","Wayne County, Missouri"
"1650","Webster County, Missouri"
"1651","Worth County, Missouri"
"1652","Wright County, Missouri"
"1653","St. Louis city, Missouri"
"1654","Beaverhead County, Montana"
"1655","Big Horn County, Montana"
"1656","Blaine County, Montana"
"1657","Broadwater County, Montana"
"1658","Carbon County, Montana"
"1659","Carter County, Montana"
"1660","Cascade County, Montana"
"1661","Chouteau County, Montana"
"1662","Custer County, Montana"
"1663","Daniels County, Montana"
"1664","Dawson County, Montana"
"1665","Deer Lodge County, Montana"
"1666","Fallon County, Montana"
"1667","Fergus County, Montana"
"1668","Flathead County, Montana"
"1669","Gallatin County, Montana"
"1670","Garfield County, Montana"
"1671","Glacier County, Montana"
"1672","Golden Valley County, Montana"
"1673","Granite County, Montana"
"1674","Hill County, Montana"
"1675","Jefferson County, Montana"
"1676","Judith Basin County, Montana"
"1677","Lake County, Montana"
"1678","Lewis and Clark County, Montana"
"1679","Liberty County, Montana"
"1680","Lincoln County, Montana"
"1681","McCone County, Montana"
"1682","Madison County, Montana"
"1683","Meagher County, Montana"
"1684","Mineral County, Montana"
"1685","Missoula County, Montana"
"1686","Musselshell County, Montana"
"1687","Park County, Montana"
"1688","Petroleum County, Montana"
"1689","Phillips County, Montana"
"1690","Pondera County, Montana"
"1691","Powder River County, Montana"
"1692","Powell County, Montana"
"1693","Prairie County, Montana"
"1694","Ravalli County, Montana"
"1695","Richland County, Montana"
"1696","Roosevelt County, Montana"
"1697","Rosebud County, Montana"
"1698","Sanders County, Montana"
"1699","Sheridan County, Montana"
"1700","Silver Bow County, Montana"
"1701","Stillwater County, Montana"
"1702","Sweet Grass County, Montana"
"1703","Teton County, Montana"
"1704","Toole County, Montana"
"1705","Treasure County, Montana"
"1706","Valley County, Montana"
"1707","Wheatland County, Montana"
"1708","Wibaux County, Montana"
"1709","Yellowstone County, Montana"
"1710","Adams County, Nebraska"
"1711","Antelope County, Nebraska"
"1712","Arthur County, Nebraska"
"1713","Banner County, Nebraska"
"1714","Blaine County, Nebraska"
"1715","Boone County, Nebraska"
"1716","Box Butte County, Nebraska"
"1717","Boyd County, Nebraska"
"1718","Brown County, Nebraska"
"1719","Buffalo County, Nebraska"
"1720","Burt County, Nebraska"
"1721","Butler County, Nebraska"
"1722","Cass County, Nebraska"
"1723","Cedar County, Nebraska"
"1724","Chase County, Nebraska"
"1725","Cherry County, Nebraska"
"1726","Cheyenne County, Nebraska"
"1727","Clay County, Nebraska"
"1728","Colfax County, Nebraska"
"1729","Cuming County, Nebraska"
"1730","Custer County, Nebraska"
"1731","Dakota County, Nebraska"
"1732","Dawes County, Nebraska"
"1733","Dawson County, Nebraska"
"1734","Deuel County, Nebraska"
"1735","Dixon County, Nebraska"
"1736","Dodge County, Nebraska"
"1737","Douglas County, Nebraska"
"1738","Dundy County, Nebraska"
"1739","Fillmore County, Nebraska"
"1740","Franklin County, Nebraska"
"1741","Frontier County, Nebraska"
"1742","Furnas County, Nebraska"
"1743","Gage County, Nebraska"
"1744","Garden County, Nebraska"
"1745","Garfield County, Nebraska"
"1746","Gosper County, Nebraska"
"1747","Grant County, Nebraska"
"1748","Greeley County, Nebraska"
"1749","Hall County, Nebraska"
"1750","Hamilton County, Nebraska"
"1751","Harlan County, Nebraska"
"1752","Hayes County, Nebraska"
"1753","Hitchcock County, Nebraska"
"1754","Holt County, Nebraska"
"1755","Hooker County, Nebraska"
"1756","Howard County, Nebraska"
"1757","Jefferson County, Nebraska"
"1758","Johnson County, Nebraska"
"1759","Kearney County, Nebraska"
"1760","Keith County, Nebraska"
"1761","Keya Paha County, Nebraska"
"1762","Kimball County, Nebraska"
"1763","Knox County, Nebraska"
"1764","Lancaster County, Nebraska"
"1765","Lincoln County, Nebraska"
"1766","Logan County, Nebraska"
"1767","Loup County, Nebraska"
"1768","McPherson County, Nebraska"
"1769","Madison County, Nebraska"
"1770","Merrick County, Nebraska"
"1771","Morrill County, Nebraska"
"1772","Nance County, Nebraska"
"1773","Nemaha County, Nebraska"
"1774","Nuckolls County, Nebraska"
"1775","Otoe County, Nebraska"
"1776","Pawnee County, Nebraska"
"1777","Perkins County, Nebraska"
"1778","Phelps County, Nebraska"
"1779","Pierce County, Nebraska"
"1780","Platte County, Nebraska"
"1781","Polk County, Nebraska"
"1782","Red Willow County, Nebraska"
